image,Entropy,Entropy Change,Weighted Entropy,gt
0.png,3.2542278512507434,7.739015158665112,10.993243009915856,33
1.png,2.713248362586776,5.726468747794274,8.43971711038105,77
2.png,3.332429437244553,5.248423180400004,8.580852617644556,81
3.png,3.329906870274596,6.835111331053095,10.16501820132769,28
4.png,3.267568949120138,5.455635074194599,8.723204023314736,56
5.png,3.359537202757887,5.520760957044942,8.880298159802829,83
6.png,3.35626489914471,5.6215619041655085,8.977826803310219,12
7.png,3.4573751888021014,6.312222281578492,9.769597470380594,41
8.png,3.3725988024540614,6.606871961035903,9.979470763489964,44
9.png,3.001065333543005,8.456920127268363,11.457985460811368,57
10.png,3.335098113033702,10.371077813623195,13.706175926656895,80
11.png,3.481530133504686,7.618656921242288,11.100187054746977,0
12.png,3.1714269370822787,5.77656838745171,8.947995324533988,41
13.png,3.086882111825336,6.807313978544269,9.894196090369606,45
14.png,3.3893583334091684,6.93909015541466,10.328448488823827,78
15.png,3.433989225265297,8.350083086874793,11.78407231214009,36
16.png,3.2442130096671,6.037206207819027,9.281419217486128,46
17.png,3.3136260625383898,5.618750042127663,8.932376104666051,46
18.png,3.244481540595946,7.296277044376908,10.540758584972854,57
19.png,3.425765774674699,7.637674244229279,11.06344001890398,52
20.png,3.2950949450265083,6.547301633003758,9.842396578030266,44
21.png,3.110232235791184,5.799844361619937,8.91007659741112,18
22.png,3.46851336466647,6.863520492201912,10.332033856868382,20
23.png,3.3290712862099965,8.247253272185691,11.576324558395688,16
24.png,3.312256961627107,5.180169140932112,8.492426102559218,31
25.png,3.2833065604905656,6.26017844712505,9.543485007615615,55
26.png,3.262885883980021,5.75493104209482,9.017816926074842,28
27.png,3.5410338650244526,7.899438503768642,11.440472368793095,63
28.png,3.215484142756156,6.245310231984128,9.460794374740283,30
29.png,3.070409154308236,6.019510624770015,9.08991977907825,47
30.png,3.3878392483026447,6.614557653972024,10.002396902274668,32
31.png,3.214376172030144,6.853251589712609,10.067627761742752,68
32.png,3.2676761524448863,6.861125517113196,10.128801669558085,76
33.png,3.334319155168539,6.8846783076358005,10.21899746280434,7
34.png,3.411210281113407,6.970669162088244,10.381879443201653,23
35.png,3.3891068967884275,7.112475885237138,10.501582782025563,59
36.png,3.386196058341903,9.57268631895156,12.958882377293463,46
37.png,3.4156957568790647,6.225238714957786,9.64093447183685,71
38.png,3.266355954671373,7.880263077364085,11.146619032035458,44
39.png,3.3027252131979945,6.769760188977268,10.072485402175262,64
40.png,3.050738423834973,5.9107670584362895,8.961505482271262,45
41.png,3.3438715690045715,7.088499874199205,10.432371443203778,71
42.png,3.3668896121470024,6.961873914725662,10.328763526872663,54
43.png,3.356247674252505,5.850717631054783,9.206965305307287,65
44.png,3.1960640850831155,8.534847342322442,11.730911427405555,55
45.png,3.203060688921911,7.253131778231715,10.456192467153626,21
46.png,3.254989488905131,6.331546397731649,9.58653588663678,26
47.png,2.930268400666,7.132897564947027,10.063165965613026,100
48.png,3.2131228140906685,6.201591211044974,9.414714025135645,54
49.png,3.455197182089293,7.46475173831552,10.919948920404812,62
50.png,3.2700124354002336,6.384310631046062,9.654323066446295,43
51.png,3.401258011874268,6.5978406191887045,9.999098631062973,35
52.png,3.3543029665142483,6.500621506333187,9.854924472847436,26
53.png,2.870136803065656,8.437254210462594,11.30739101352825,83
54.png,3.30227775118961,6.18989717217433,9.49217492336394,58
55.png,3.0996893793900164,5.659002695931818,8.758692075321834,8
56.png,3.18436654221251,6.764863235083762,9.949229777296273,40
57.png,3.232778785179116,6.016175494324201,9.248954279503316,27
58.png,3.2048378091583194,7.896943254265826,11.101781063424143,16
59.png,3.295374202611341,7.230855678451417,10.526229881062758,23
60.png,3.2484343170776344,8.90081885163761,12.149253168715244,24
61.png,3.254387983161348,6.264148035311575,9.518536018472922,27
62.png,3.1386944494206386,6.356249512199301,9.494943961619938,73
63.png,3.377230999963049,5.912496001024664,9.289727000987714,9
64.png,3.3689618446799328,7.545993969521435,10.914955814201369,70
65.png,3.1816733656082787,6.032766147525976,9.214439513134256,71
66.png,3.1415699648531192,9.379083894644095,12.520653859497214,60
67.png,3.1081243175786364,5.45679514401996,8.564919461598596,61
68.png,3.2298205864316696,7.28848394482665,10.51830453125832,26
69.png,3.051394933035348,5.246723734073709,8.298118667109057,76
70.png,2.9365180612003843,7.265912460093999,10.202430521294383,49
71.png,3.384916270585379,7.250767979676478,10.635684250261855,57
72.png,3.3139522445856784,6.857057910156518,10.171010154742197,67
73.png,3.3761985421521525,7.774967455741864,11.151165997894015,44
74.png,3.351116781250717,6.957522747182384,10.3086395284331,20
75.png,3.316966341144425,5.788512672439518,9.105479013583944,45
76.png,3.238194597239604,6.062531913534751,9.300726510774355,55
77.png,3.3028656521280007,5.89802821319064,9.20089386531864,87
78.png,3.2900000299450114,6.438016427273728,9.72801645721874,18
79.png,3.291627389621555,6.69303867331347,9.984666062935023,16
80.png,3.2421473387300845,6.44710319220758,9.689250530937665,57
81.png,3.284438457053355,5.839415780077363,9.123854237130718,47
82.png,3.183491348039265,5.781703296801508,8.965194644840773,56
83.png,3.267087408803458,5.668747243872053,8.93583465267551,49
