0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
3.4129353,76.317215,0.0,0.0,5.5566826,7.369692,0.0,0.087585956,0.0,2.689542,14.055368,5.095338,7.4932055,7.1329703,16.150307,3.0747602,0.0,2.0738614,5.559696,3.1533825,0.0,0.0,14.618939,7.8946805,0.0,1.5513188,0.0,3.5010562,1.4143925,5.4576483,0.0,0.1262229,2.459142,4.728374,1.9849308,0.0,2.8838375,2.8720405,0.17829351,0.6573556,0.0,2.4739604,1.2239407,0.52684563,2.7411652,0.7644047,0.0913335,0.66443384,0.0
21.9902,0.0,6.500292,24.658209,10.023652,1.7771248,8.784368,5.277715,6.6359,26.189926,22.601181,10.8682375,6.2322044,12.452161,0.0,11.097319,5.7501774,13.40463,0.72936916,15.094616,7.241019,0.6812867,0.8985225,8.628065,7.2940283,3.2982588,6.91431,6.3939905,6.262435,7.6360703,1.603807,7.1219482,0.0,5.0414095,4.115473,15.554319,0.6994309,1.8546243,1.0707964,0.0,13.2511635,8.251752,14.359797,3.9044325,9.517891,1.6198149,4.057544,2.9791784,0.52187777
22.96258,7.2319717,6.280123,7.54281,46.859943,6.35366,9.454357,6.6059074,7.700618,11.144534,4.7384453,3.685102,5.7437763,0.0,13.464279,2.4256651,0.2668594,5.735882,21.293745,0.0,20.813972,0.0,0.0,11.842518,42.1681,2.9547548,0.0,0.0,1.3214409,0.0,0.0,0.0,4.6747494,2.6338558,0.0,0.0,0.0,0.56517154,11.472831,0.0,2.8984437,2.4083498,4.031906,5.566327,3.7785296,9.614321,0.0,4.01683,1.107221
33.898838,0.0,4.5517216,12.375248,32.18198,0.0,12.904274,11.636798,2.240034,29.232635,5.055816,3.6878347,12.853374,1.4702755,3.3214326,7.2629943,5.831524,10.192248,11.459771,3.2761655,19.365921,0.0,3.3733168,0.0,30.823475,0.0,0.0,0.0,4.231101,0.0,0.16034287,6.3386827,1.2009995,5.2466674,0.0,0.0,0.94380146,9.078789,6.8914547,2.1440563,8.983946,7.1231685,2.2701733,3.0031955,0.81377244,2.4155803,3.146343,0.0,3.1639597
25.34422,0.0,6.1426907,9.415141,3.2966998,10.550463,27.372164,54.062046,10.439339,9.167596,6.616143,3.5833569,6.30217,24.553074,4.432872,9.280652,7.223658,3.8281891,0.0,8.685222,18.646864,4.475195,10.010355,0.0,1.5369896,0.0,8.435788,11.438246,4.794897,1.4695399,0.0,0.0,4.6692824,0.0,0.0,7.1748533,0.0,0.0,11.245562,0.0,1.4953643,4.1333523,7.8168817,3.5708857,3.8949323,8.138818,0.0,5.669963,4.142517
0.52060217,72.25268,11.269949,1.8119166,2.9649754,29.086056,6.9975047,5.6120214,2.656568,4.197603,12.535836,5.8812575,1.886294,5.9469914,4.957725,1.0602273,3.889325,0.0,7.028213,3.8418596,1.9248798,9.630273,6.077046,5.3616953,0.0,6.255909,0.775977,1.7301105,0.0,0.7093317,5.544392,0.0,0.17933789,1.0884104,2.5468447,0.84339154,1.1365992,0.0,0.41105318,4.1814976,1.7855896,0.0,5.3205547,3.5383706,2.4439151,2.4133534,1.5874104,2.3905616,0.0
36.106445,33.488113,0.0,4.8030467,29.599915,0.0,5.2312865,11.270944,9.522906,1.3690645,8.393991,0.24688104,17.851227,3.8499079,11.168098,0.0,10.3846445,3.234128,36.568844,0.0,2.6886516,0.0,1.8852009,0.0,8.432246,2.8887966,3.2251656,7.0139976,2.22826,0.0,0.6022341,2.9833984,0.0,0.6895026,0.0,0.7453264,0.0,0.0,9.40924,5.3177967,0.0,6.8174586,0.0,7.8244357,3.531195,1.5828803,0.37035298,1.9093137,0.263107
15.073106,1.8835021,55.32313,4.849123,13.812336,0.0,0.77660483,0.55667794,2.5623608,13.656959,1.2888856,1.2189919,30.027649,0.31561413,0.0,4.4033775,1.966547,20.197159,0.0,0.0,3.0126984,0.1800925,2.6382244,0.0,0.0,2.6975842,0.0,2.8139622,2.188738,1.9489238,0.0,3.5785687,0.0,2.1527107,2.4181519,3.90154,4.8601832,0.53352845,7.209672,0.0,0.0092047965,0.95945317,0.99456173,0.0,1.9385172,1.1621946,0.07419735,1.7111785,0.0
0.72092676,12.798436,77.17545,8.518752,0.0,10.711511,8.075563,5.396814,0.0,7.9711256,6.3797817,2.3031538,1.9421886,0.00567548,2.985504,0.0,7.8091087,3.1227603,5.129839,0.0,3.637229,2.7096179,2.4827714,1.6410381,0.0,1.6296599,2.7679234,0.0,7.738203,2.7278786,0.0,2.4737647,8.570746,0.0,3.5905156,1.9202044,0.6500108,0.0,0.57462454,0.0,0.0,1.1843432,3.3617263,0.0,1.7434365,1.5562582,0.0,0.0,0.0
26.32199,0.0,31.379429,12.709057,27.370457,8.714589,14.687711,1.756628,1.6798705,14.245039,0.59035707,8.950542,19.576427,2.7576427,5.050321,3.2926812,1.8520318,12.188927,0.9550527,0.4859397,0.99511725,3.9425626,0.0,7.203637,3.4638033,3.3141465,0.42495868,13.302587,5.0926514,3.2289948,0.016626716,7.716423,0.0,1.091299,4.1330533,8.661445,0.9874271,3.5853367,1.0707479,0.92337143,1.6596744,9.587143,5.9308863,2.81132,2.0961208,3.0505552,3.9959598,3.2205071,5.331547
